The result is shown here.
In epoch 0, loss: 1.946, train acc: 0.182, val acc: 0.179 (best 0.179), test acc: 0.149 (best 0.149)
In epoch 5, loss: 1.945, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 10, loss: 1.943, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 15, loss: 1.942, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 20, loss: 1.940, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 25, loss: 1.937, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 30, loss: 1.933, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 35, loss: 1.928, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 40, loss: 1.921, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 45, loss: 1.913, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 50, loss: 1.905, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 55, loss: 1.898, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 60, loss: 1.890, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 65, loss: 1.881, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 70, loss: 1.869, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 75, loss: 1.856, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 80, loss: 1.839, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 85, loss: 1.816, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 90, loss: 1.786, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 95, loss: 1.749, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 100, loss: 1.705, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 105, loss: 1.659, train acc: 0.323, val acc: 0.314 (best 0.314), test acc: 0.363 (best 0.363)
In epoch 110, loss: 1.616, train acc: 0.379, val acc: 0.329 (best 0.329), test acc: 0.435 (best 0.435)
In epoch 115, loss: 1.580, train acc: 0.392, val acc: 0.336 (best 0.336), test acc: 0.462 (best 0.462)
In epoch 120, loss: 1.549, train acc: 0.399, val acc: 0.336 (best 0.340), test acc: 0.470 (best 0.470)
In epoch 125, loss: 1.522, train acc: 0.404, val acc: 0.338 (best 0.340), test acc: 0.460 (best 0.470)
In epoch 130, loss: 1.498, train acc: 0.408, val acc: 0.348 (best 0.348), test acc: 0.468 (best 0.468)
In epoch 135, loss: 1.474, train acc: 0.418, val acc: 0.353 (best 0.353), test acc: 0.492 (best 0.492)
In epoch 140, loss: 1.450, train acc: 0.479, val acc: 0.412 (best 0.412), test acc: 0.543 (best 0.543)
In epoch 145, loss: 1.426, train acc: 0.515, val acc: 0.444 (best 0.445), test acc: 0.565 (best 0.567)
In epoch 150, loss: 1.402, train acc: 0.525, val acc: 0.444 (best 0.445), test acc: 0.576 (best 0.567)
In epoch 155, loss: 1.379, train acc: 0.532, val acc: 0.449 (best 0.449), test acc: 0.584 (best 0.580)
In epoch 160, loss: 1.356, train acc: 0.534, val acc: 0.438 (best 0.451), test acc: 0.578 (best 0.580)
In epoch 165, loss: 1.333, train acc: 0.539, val acc: 0.445 (best 0.451), test acc: 0.576 (best 0.580)
In epoch 170, loss: 1.308, train acc: 0.543, val acc: 0.453 (best 0.453), test acc: 0.575 (best 0.575)
In epoch 175, loss: 1.286, train acc: 0.550, val acc: 0.455 (best 0.455), test acc: 0.576 (best 0.575)
In epoch 180, loss: 1.262, train acc: 0.554, val acc: 0.458 (best 0.458), test acc: 0.584 (best 0.582)
In epoch 185, loss: 1.239, train acc: 0.558, val acc: 0.458 (best 0.458), test acc: 0.586 (best 0.582)
In epoch 190, loss: 1.216, train acc: 0.558, val acc: 0.457 (best 0.458), test acc: 0.580 (best 0.582)
In epoch 195, loss: 1.192, train acc: 0.563, val acc: 0.464 (best 0.464), test acc: 0.587 (best 0.587)
In epoch 200, loss: 1.169, train acc: 0.602, val acc: 0.495 (best 0.495), test acc: 0.622 (best 0.622)
In epoch 205, loss: 1.145, train acc: 0.613, val acc: 0.492 (best 0.495), test acc: 0.626 (best 0.622)
In epoch 210, loss: 1.122, train acc: 0.623, val acc: 0.506 (best 0.506), test acc: 0.632 (best 0.632)
In epoch 215, loss: 1.097, train acc: 0.627, val acc: 0.506 (best 0.512), test acc: 0.632 (best 0.630)
In epoch 220, loss: 1.069, train acc: 0.627, val acc: 0.510 (best 0.512), test acc: 0.628 (best 0.630)
In epoch 225, loss: 1.039, train acc: 0.630, val acc: 0.512 (best 0.512), test acc: 0.626 (best 0.630)
In epoch 230, loss: 1.007, train acc: 0.631, val acc: 0.510 (best 0.512), test acc: 0.628 (best 0.630)
In epoch 235, loss: 0.974, train acc: 0.638, val acc: 0.514 (best 0.514), test acc: 0.637 (best 0.637)
In epoch 240, loss: 0.939, train acc: 0.678, val acc: 0.562 (best 0.562), test acc: 0.681 (best 0.681)
In epoch 245, loss: 0.902, train acc: 0.696, val acc: 0.580 (best 0.580), test acc: 0.694 (best 0.691)
In epoch 250, loss: 0.864, train acc: 0.711, val acc: 0.590 (best 0.595), test acc: 0.700 (best 0.700)
In epoch 255, loss: 0.828, train acc: 0.719, val acc: 0.612 (best 0.612), test acc: 0.709 (best 0.709)
In epoch 260, loss: 0.795, train acc: 0.728, val acc: 0.612 (best 0.616), test acc: 0.713 (best 0.711)
In epoch 265, loss: 0.766, train acc: 0.731, val acc: 0.617 (best 0.619), test acc: 0.707 (best 0.711)
In epoch 270, loss: 0.743, train acc: 0.744, val acc: 0.617 (best 0.619), test acc: 0.726 (best 0.711)
In epoch 275, loss: 0.723, train acc: 0.744, val acc: 0.621 (best 0.623), test acc: 0.722 (best 0.726)
In epoch 280, loss: 0.706, train acc: 0.749, val acc: 0.623 (best 0.627), test acc: 0.713 (best 0.716)
In epoch 285, loss: 0.691, train acc: 0.754, val acc: 0.630 (best 0.632), test acc: 0.716 (best 0.716)
