The result is shown here.
In epoch 0, loss: 1.946, train acc: 0.160, val acc: 0.089 (best 0.089), test acc: 0.203 (best 0.203)
In epoch 5, loss: 1.945, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 10, loss: 1.944, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 15, loss: 1.943, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 20, loss: 1.941, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 25, loss: 1.938, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 30, loss: 1.935, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 35, loss: 1.930, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 40, loss: 1.923, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 45, loss: 1.913, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 50, loss: 1.900, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 55, loss: 1.885, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 60, loss: 1.869, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 65, loss: 1.857, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 70, loss: 1.849, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 75, loss: 1.840, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 80, loss: 1.833, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 85, loss: 1.825, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 90, loss: 1.817, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
