The result is shown here.
In epoch 0, loss: 1.946, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 5, loss: 1.944, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 10, loss: 1.941, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 15, loss: 1.937, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 20, loss: 1.932, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 25, loss: 1.926, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 30, loss: 1.917, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 35, loss: 1.905, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 40, loss: 1.889, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 45, loss: 1.871, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 50, loss: 1.854, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 55, loss: 1.846, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 60, loss: 1.843, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 65, loss: 1.836, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 70, loss: 1.830, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 75, loss: 1.823, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 80, loss: 1.814, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 85, loss: 1.802, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 90, loss: 1.786, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 95, loss: 1.763, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 100, loss: 1.733, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 105, loss: 1.694, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 110, loss: 1.646, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 115, loss: 1.598, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 120, loss: 1.558, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 125, loss: 1.527, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 130, loss: 1.504, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 135, loss: 1.486, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 140, loss: 1.473, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 145, loss: 1.460, train acc: 0.300, val acc: 0.312 (best 0.312), test acc: 0.326 (best 0.320)
In epoch 150, loss: 1.447, train acc: 0.315, val acc: 0.325 (best 0.325), test acc: 0.344 (best 0.344)
In epoch 155, loss: 1.432, train acc: 0.331, val acc: 0.342 (best 0.342), test acc: 0.370 (best 0.370)
In epoch 160, loss: 1.414, train acc: 0.347, val acc: 0.362 (best 0.362), test acc: 0.372 (best 0.372)
In epoch 165, loss: 1.393, train acc: 0.355, val acc: 0.379 (best 0.379), test acc: 0.379 (best 0.379)
In epoch 170, loss: 1.369, train acc: 0.363, val acc: 0.384 (best 0.388), test acc: 0.387 (best 0.383)
In epoch 175, loss: 1.344, train acc: 0.368, val acc: 0.384 (best 0.388), test acc: 0.387 (best 0.383)
In epoch 180, loss: 1.317, train acc: 0.455, val acc: 0.412 (best 0.412), test acc: 0.506 (best 0.506)
In epoch 185, loss: 1.291, train acc: 0.476, val acc: 0.429 (best 0.429), test acc: 0.536 (best 0.536)
In epoch 190, loss: 1.264, train acc: 0.491, val acc: 0.431 (best 0.431), test acc: 0.547 (best 0.541)
In epoch 195, loss: 1.237, train acc: 0.499, val acc: 0.436 (best 0.438), test acc: 0.552 (best 0.551)
In epoch 200, loss: 1.209, train acc: 0.501, val acc: 0.436 (best 0.438), test acc: 0.564 (best 0.551)
In epoch 205, loss: 1.180, train acc: 0.514, val acc: 0.438 (best 0.438), test acc: 0.576 (best 0.551)
In epoch 210, loss: 1.148, train acc: 0.522, val acc: 0.449 (best 0.449), test acc: 0.586 (best 0.586)
In epoch 215, loss: 1.115, train acc: 0.576, val acc: 0.492 (best 0.492), test acc: 0.639 (best 0.639)
In epoch 220, loss: 1.085, train acc: 0.596, val acc: 0.506 (best 0.506), test acc: 0.659 (best 0.659)
In epoch 225, loss: 1.056, train acc: 0.613, val acc: 0.542 (best 0.542), test acc: 0.670 (best 0.670)
In epoch 230, loss: 1.027, train acc: 0.640, val acc: 0.569 (best 0.569), test acc: 0.676 (best 0.676)
In epoch 235, loss: 0.996, train acc: 0.664, val acc: 0.595 (best 0.595), test acc: 0.703 (best 0.703)
In epoch 240, loss: 0.964, train acc: 0.691, val acc: 0.621 (best 0.621), test acc: 0.724 (best 0.724)
In epoch 245, loss: 0.932, train acc: 0.710, val acc: 0.634 (best 0.634), test acc: 0.727 (best 0.727)
In epoch 250, loss: 0.900, train acc: 0.725, val acc: 0.660 (best 0.660), test acc: 0.746 (best 0.746)
In epoch 255, loss: 0.870, train acc: 0.737, val acc: 0.667 (best 0.669), test acc: 0.759 (best 0.759)
In epoch 260, loss: 0.839, train acc: 0.743, val acc: 0.677 (best 0.677), test acc: 0.762 (best 0.762)
In epoch 265, loss: 0.808, train acc: 0.752, val acc: 0.684 (best 0.684), test acc: 0.779 (best 0.779)
In epoch 270, loss: 0.775, train acc: 0.762, val acc: 0.706 (best 0.706), test acc: 0.777 (best 0.777)
In epoch 275, loss: 0.740, train acc: 0.804, val acc: 0.745 (best 0.745), test acc: 0.808 (best 0.808)
In epoch 280, loss: 0.709, train acc: 0.827, val acc: 0.750 (best 0.754), test acc: 0.829 (best 0.818)
In epoch 285, loss: 0.670, train acc: 0.835, val acc: 0.758 (best 0.762), test acc: 0.829 (best 0.827)
In epoch 290, loss: 0.638, train acc: 0.839, val acc: 0.760 (best 0.767), test acc: 0.827 (best 0.825)
In epoch 295, loss: 0.607, train acc: 0.846, val acc: 0.758 (best 0.767), test acc: 0.829 (best 0.825)
In epoch 300, loss: 0.582, train acc: 0.847, val acc: 0.765 (best 0.767), test acc: 0.832 (best 0.825)
In epoch 305, loss: 0.560, train acc: 0.854, val acc: 0.760 (best 0.767), test acc: 0.834 (best 0.825)
In epoch 310, loss: 0.541, train acc: 0.857, val acc: 0.767 (best 0.769), test acc: 0.832 (best 0.832)
In epoch 315, loss: 0.527, train acc: 0.859, val acc: 0.769 (best 0.769), test acc: 0.831 (best 0.832)
In epoch 320, loss: 0.515, train acc: 0.863, val acc: 0.767 (best 0.771), test acc: 0.832 (best 0.829)
In epoch 325, loss: 0.504, train acc: 0.863, val acc: 0.762 (best 0.771), test acc: 0.831 (best 0.829)
In epoch 330, loss: 0.494, train acc: 0.866, val acc: 0.765 (best 0.771), test acc: 0.832 (best 0.829)
In epoch 335, loss: 0.485, train acc: 0.868, val acc: 0.771 (best 0.771), test acc: 0.834 (best 0.829)
In epoch 340, loss: 0.477, train acc: 0.868, val acc: 0.769 (best 0.771), test acc: 0.832 (best 0.829)
In epoch 345, loss: 0.470, train acc: 0.869, val acc: 0.769 (best 0.771), test acc: 0.832 (best 0.829)
In epoch 350, loss: 0.462, train acc: 0.869, val acc: 0.767 (best 0.771), test acc: 0.832 (best 0.829)
In epoch 355, loss: 0.455, train acc: 0.873, val acc: 0.767 (best 0.771), test acc: 0.832 (best 0.829)
In epoch 360, loss: 0.447, train acc: 0.874, val acc: 0.767 (best 0.771), test acc: 0.832 (best 0.829)
In epoch 365, loss: 0.440, train acc: 0.875, val acc: 0.769 (best 0.774), test acc: 0.836 (best 0.832)
In epoch 370, loss: 0.435, train acc: 0.878, val acc: 0.769 (best 0.778), test acc: 0.831 (best 0.838)
