The result is shown here.
In epoch 0, loss: 1.946, train acc: 0.275, val acc: 0.303 (best 0.303), test acc: 0.300 (best 0.300)
In epoch 5, loss: 1.944, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 10, loss: 1.942, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 15, loss: 1.938, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 20, loss: 1.934, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 25, loss: 1.929, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 30, loss: 1.921, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 35, loss: 1.911, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 40, loss: 1.898, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 45, loss: 1.881, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 50, loss: 1.863, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 55, loss: 1.848, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 60, loss: 1.842, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 65, loss: 1.836, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 70, loss: 1.827, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 75, loss: 1.819, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 80, loss: 1.808, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 85, loss: 1.793, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 90, loss: 1.773, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 95, loss: 1.748, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 100, loss: 1.715, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 105, loss: 1.675, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 110, loss: 1.628, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 115, loss: 1.578, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 120, loss: 1.531, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 125, loss: 1.490, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 130, loss: 1.453, train acc: 0.296, val acc: 0.311 (best 0.311), test acc: 0.319 (best 0.317)
In epoch 135, loss: 1.416, train acc: 0.315, val acc: 0.320 (best 0.320), test acc: 0.333 (best 0.333)
In epoch 140, loss: 1.376, train acc: 0.329, val acc: 0.336 (best 0.336), test acc: 0.348 (best 0.348)
In epoch 145, loss: 1.330, train acc: 0.377, val acc: 0.375 (best 0.375), test acc: 0.401 (best 0.401)
In epoch 150, loss: 1.275, train acc: 0.456, val acc: 0.427 (best 0.427), test acc: 0.503 (best 0.503)
In epoch 155, loss: 1.216, train acc: 0.561, val acc: 0.519 (best 0.519), test acc: 0.597 (best 0.597)
In epoch 160, loss: 1.160, train acc: 0.602, val acc: 0.540 (best 0.540), test acc: 0.617 (best 0.617)
In epoch 165, loss: 1.105, train acc: 0.623, val acc: 0.547 (best 0.547), test acc: 0.639 (best 0.632)
In epoch 170, loss: 1.056, train acc: 0.635, val acc: 0.553 (best 0.553), test acc: 0.648 (best 0.646)
In epoch 175, loss: 1.014, train acc: 0.642, val acc: 0.553 (best 0.553), test acc: 0.663 (best 0.646)
In epoch 180, loss: 0.977, train acc: 0.647, val acc: 0.556 (best 0.556), test acc: 0.678 (best 0.676)
In epoch 185, loss: 0.942, train acc: 0.655, val acc: 0.553 (best 0.556), test acc: 0.683 (best 0.676)
In epoch 190, loss: 0.911, train acc: 0.683, val acc: 0.580 (best 0.580), test acc: 0.709 (best 0.696)
In epoch 195, loss: 0.884, train acc: 0.702, val acc: 0.601 (best 0.601), test acc: 0.733 (best 0.729)
In epoch 200, loss: 0.858, train acc: 0.719, val acc: 0.614 (best 0.614), test acc: 0.737 (best 0.737)
In epoch 205, loss: 0.833, train acc: 0.724, val acc: 0.616 (best 0.617), test acc: 0.742 (best 0.740)
