The result is shown here.
In epoch 0, loss: 1.946, train acc: 0.155, val acc: 0.081 (best 0.081), test acc: 0.193 (best 0.193)
In epoch 5, loss: 1.944, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 10, loss: 1.941, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 15, loss: 1.937, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 20, loss: 1.933, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 25, loss: 1.927, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 30, loss: 1.919, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 35, loss: 1.909, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 40, loss: 1.896, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 45, loss: 1.881, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 50, loss: 1.866, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 55, loss: 1.854, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 60, loss: 1.846, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 65, loss: 1.840, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 70, loss: 1.832, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 75, loss: 1.824, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 80, loss: 1.816, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 85, loss: 1.805, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 90, loss: 1.792, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 95, loss: 1.774, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 100, loss: 1.749, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 105, loss: 1.717, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 110, loss: 1.676, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 115, loss: 1.629, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 120, loss: 1.583, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 125, loss: 1.545, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 130, loss: 1.516, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.317)
In epoch 135, loss: 1.494, train acc: 0.327, val acc: 0.346 (best 0.346), test acc: 0.350 (best 0.350)
In epoch 140, loss: 1.475, train acc: 0.339, val acc: 0.351 (best 0.351), test acc: 0.350 (best 0.350)
In epoch 145, loss: 1.460, train acc: 0.342, val acc: 0.353 (best 0.353), test acc: 0.355 (best 0.354)
In epoch 150, loss: 1.448, train acc: 0.347, val acc: 0.359 (best 0.359), test acc: 0.359 (best 0.354)
In epoch 155, loss: 1.436, train acc: 0.350, val acc: 0.375 (best 0.375), test acc: 0.363 (best 0.357)
In epoch 160, loss: 1.423, train acc: 0.358, val acc: 0.381 (best 0.381), test acc: 0.370 (best 0.370)
In epoch 165, loss: 1.409, train acc: 0.361, val acc: 0.383 (best 0.383), test acc: 0.376 (best 0.372)
In epoch 170, loss: 1.394, train acc: 0.366, val acc: 0.386 (best 0.388), test acc: 0.376 (best 0.376)
In epoch 175, loss: 1.377, train acc: 0.367, val acc: 0.396 (best 0.396), test acc: 0.389 (best 0.389)
In epoch 180, loss: 1.355, train acc: 0.409, val acc: 0.410 (best 0.410), test acc: 0.422 (best 0.405)
In epoch 185, loss: 1.329, train acc: 0.399, val acc: 0.396 (best 0.410), test acc: 0.400 (best 0.405)
In epoch 190, loss: 1.294, train acc: 0.464, val acc: 0.405 (best 0.410), test acc: 0.479 (best 0.405)
In epoch 195, loss: 1.255, train acc: 0.512, val acc: 0.429 (best 0.429), test acc: 0.521 (best 0.521)
In epoch 200, loss: 1.212, train acc: 0.542, val acc: 0.444 (best 0.444), test acc: 0.552 (best 0.545)
In epoch 205, loss: 1.165, train acc: 0.551, val acc: 0.455 (best 0.458), test acc: 0.552 (best 0.562)
In epoch 210, loss: 1.118, train acc: 0.563, val acc: 0.468 (best 0.473), test acc: 0.564 (best 0.571)
In epoch 215, loss: 1.073, train acc: 0.573, val acc: 0.481 (best 0.481), test acc: 0.573 (best 0.567)
In epoch 220, loss: 1.031, train acc: 0.595, val acc: 0.501 (best 0.501), test acc: 0.593 (best 0.593)
In epoch 225, loss: 0.994, train acc: 0.657, val acc: 0.567 (best 0.579), test acc: 0.641 (best 0.659)
In epoch 230, loss: 0.961, train acc: 0.675, val acc: 0.582 (best 0.593), test acc: 0.654 (best 0.661)
In epoch 235, loss: 0.927, train acc: 0.700, val acc: 0.604 (best 0.604), test acc: 0.674 (best 0.667)
In epoch 240, loss: 0.893, train acc: 0.714, val acc: 0.610 (best 0.614), test acc: 0.676 (best 0.678)
In epoch 245, loss: 0.864, train acc: 0.730, val acc: 0.617 (best 0.619), test acc: 0.692 (best 0.687)
In epoch 250, loss: 0.835, train acc: 0.749, val acc: 0.621 (best 0.621), test acc: 0.707 (best 0.707)
In epoch 255, loss: 0.808, train acc: 0.759, val acc: 0.640 (best 0.640), test acc: 0.711 (best 0.711)
In epoch 260, loss: 0.786, train acc: 0.777, val acc: 0.651 (best 0.656), test acc: 0.724 (best 0.727)
In epoch 265, loss: 0.762, train acc: 0.792, val acc: 0.667 (best 0.667), test acc: 0.735 (best 0.735)
In epoch 270, loss: 0.742, train acc: 0.800, val acc: 0.680 (best 0.680), test acc: 0.729 (best 0.729)
In epoch 275, loss: 0.723, train acc: 0.813, val acc: 0.695 (best 0.695), test acc: 0.742 (best 0.742)
In epoch 280, loss: 0.705, train acc: 0.818, val acc: 0.701 (best 0.701), test acc: 0.748 (best 0.748)
In epoch 285, loss: 0.690, train acc: 0.823, val acc: 0.704 (best 0.704), test acc: 0.746 (best 0.746)
In epoch 290, loss: 0.677, train acc: 0.828, val acc: 0.713 (best 0.715), test acc: 0.746 (best 0.748)
In epoch 295, loss: 0.663, train acc: 0.837, val acc: 0.725 (best 0.725), test acc: 0.750 (best 0.750)
In epoch 300, loss: 0.651, train acc: 0.838, val acc: 0.728 (best 0.728), test acc: 0.746 (best 0.746)
In epoch 305, loss: 0.640, train acc: 0.844, val acc: 0.730 (best 0.734), test acc: 0.748 (best 0.746)
In epoch 310, loss: 0.630, train acc: 0.847, val acc: 0.726 (best 0.738), test acc: 0.748 (best 0.746)
In epoch 315, loss: 0.618, train acc: 0.852, val acc: 0.741 (best 0.741), test acc: 0.750 (best 0.750)
In epoch 320, loss: 0.609, train acc: 0.853, val acc: 0.745 (best 0.745), test acc: 0.751 (best 0.751)
In epoch 325, loss: 0.600, train acc: 0.855, val acc: 0.745 (best 0.747), test acc: 0.753 (best 0.753)
In epoch 330, loss: 0.595, train acc: 0.853, val acc: 0.743 (best 0.747), test acc: 0.751 (best 0.753)
In epoch 335, loss: 0.586, train acc: 0.855, val acc: 0.745 (best 0.747), test acc: 0.753 (best 0.753)
In epoch 340, loss: 0.579, train acc: 0.858, val acc: 0.745 (best 0.749), test acc: 0.755 (best 0.757)
In epoch 345, loss: 0.573, train acc: 0.859, val acc: 0.749 (best 0.749), test acc: 0.757 (best 0.757)
In epoch 350, loss: 0.567, train acc: 0.860, val acc: 0.750 (best 0.750), test acc: 0.757 (best 0.759)
In epoch 355, loss: 0.562, train acc: 0.863, val acc: 0.749 (best 0.750), test acc: 0.762 (best 0.759)
In epoch 360, loss: 0.556, train acc: 0.863, val acc: 0.749 (best 0.750), test acc: 0.768 (best 0.759)
In epoch 365, loss: 0.552, train acc: 0.862, val acc: 0.752 (best 0.754), test acc: 0.766 (best 0.764)
In epoch 370, loss: 0.546, train acc: 0.865, val acc: 0.754 (best 0.754), test acc: 0.766 (best 0.764)
