The result is shown here.
In epoch 280, loss: 0.776, train acc: 0.733, val acc: 0.651 (best 0.651), test acc: 0.678 (best 0.678)
In epoch 285, loss: 0.751, train acc: 0.755, val acc: 0.665 (best 0.673), test acc: 0.700 (best 0.703)
In epoch 290, loss: 0.729, train acc: 0.780, val acc: 0.691 (best 0.708), test acc: 0.718 (best 0.718)
In epoch 295, loss: 0.710, train acc: 0.791, val acc: 0.712 (best 0.719), test acc: 0.726 (best 0.724)
In epoch 300, loss: 0.693, train acc: 0.800, val acc: 0.719 (best 0.723), test acc: 0.727 (best 0.727)
In epoch 305, loss: 0.679, train acc: 0.805, val acc: 0.726 (best 0.728), test acc: 0.726 (best 0.726)
In epoch 310, loss: 0.665, train acc: 0.808, val acc: 0.732 (best 0.732), test acc: 0.731 (best 0.729)
In epoch 315, loss: 0.654, train acc: 0.806, val acc: 0.728 (best 0.732), test acc: 0.735 (best 0.729)
In epoch 320, loss: 0.641, train acc: 0.814, val acc: 0.728 (best 0.732), test acc: 0.735 (best 0.729)
In epoch 325, loss: 0.630, train acc: 0.819, val acc: 0.734 (best 0.738), test acc: 0.737 (best 0.731)
In epoch 330, loss: 0.619, train acc: 0.825, val acc: 0.738 (best 0.741), test acc: 0.742 (best 0.740)
In epoch 335, loss: 0.609, train acc: 0.826, val acc: 0.741 (best 0.741), test acc: 0.746 (best 0.740)
In epoch 340, loss: 0.600, train acc: 0.826, val acc: 0.745 (best 0.745), test acc: 0.750 (best 0.750)
In epoch 345, loss: 0.591, train acc: 0.828, val acc: 0.745 (best 0.745), test acc: 0.750 (best 0.750)
In epoch 350, loss: 0.582, train acc: 0.832, val acc: 0.745 (best 0.747), test acc: 0.753 (best 0.746)
In epoch 355, loss: 0.574, train acc: 0.836, val acc: 0.745 (best 0.747), test acc: 0.751 (best 0.746)
In epoch 360, loss: 0.567, train acc: 0.837, val acc: 0.749 (best 0.749), test acc: 0.753 (best 0.753)
In epoch 365, loss: 0.559, train acc: 0.839, val acc: 0.749 (best 0.750), test acc: 0.753 (best 0.751)
In epoch 370, loss: 0.553, train acc: 0.841, val acc: 0.750 (best 0.752), test acc: 0.750 (best 0.750)
In epoch 375, loss: 0.546, train acc: 0.839, val acc: 0.749 (best 0.752), test acc: 0.751 (best 0.750)
In epoch 380, loss: 0.538, train acc: 0.842, val acc: 0.749 (best 0.752), test acc: 0.750 (best 0.750)
In epoch 385, loss: 0.531, train acc: 0.844, val acc: 0.754 (best 0.754), test acc: 0.750 (best 0.750)
In epoch 390, loss: 0.526, train acc: 0.845, val acc: 0.752 (best 0.754), test acc: 0.751 (best 0.750)
In epoch 395, loss: 0.517, train acc: 0.849, val acc: 0.756 (best 0.756), test acc: 0.751 (best 0.751)
In epoch 400, loss: 0.510, train acc: 0.851, val acc: 0.758 (best 0.758), test acc: 0.755 (best 0.755)
In epoch 405, loss: 0.504, train acc: 0.852, val acc: 0.760 (best 0.762), test acc: 0.757 (best 0.755)
In epoch 410, loss: 0.497, train acc: 0.854, val acc: 0.762 (best 0.765), test acc: 0.755 (best 0.759)
In epoch 415, loss: 0.490, train acc: 0.856, val acc: 0.769 (best 0.769), test acc: 0.759 (best 0.759)
In epoch 420, loss: 0.485, train acc: 0.855, val acc: 0.773 (best 0.773), test acc: 0.761 (best 0.759)
In epoch 425, loss: 0.479, train acc: 0.855, val acc: 0.769 (best 0.773), test acc: 0.761 (best 0.759)
In epoch 430, loss: 0.474, train acc: 0.856, val acc: 0.767 (best 0.773), test acc: 0.762 (best 0.759)
In epoch 435, loss: 0.469, train acc: 0.857, val acc: 0.767 (best 0.773), test acc: 0.764 (best 0.759)
In epoch 440, loss: 0.466, train acc: 0.860, val acc: 0.771 (best 0.773), test acc: 0.764 (best 0.759)
In epoch 445, loss: 0.462, train acc: 0.857, val acc: 0.765 (best 0.774), test acc: 0.766 (best 0.762)
In epoch 450, loss: 0.458, train acc: 0.858, val acc: 0.763 (best 0.774), test acc: 0.772 (best 0.762)
In epoch 455, loss: 0.454, train acc: 0.859, val acc: 0.765 (best 0.774), test acc: 0.772 (best 0.762)
In epoch 460, loss: 0.450, train acc: 0.861, val acc: 0.765 (best 0.774), test acc: 0.773 (best 0.762)
In epoch 465, loss: 0.447, train acc: 0.863, val acc: 0.769 (best 0.774), test acc: 0.772 (best 0.762)
In epoch 470, loss: 0.443, train acc: 0.863, val acc: 0.767 (best 0.774), test acc: 0.770 (best 0.762)
In epoch 475, loss: 0.440, train acc: 0.864, val acc: 0.765 (best 0.774), test acc: 0.770 (best 0.762)
In epoch 480, loss: 0.437, train acc: 0.865, val acc: 0.762 (best 0.774), test acc: 0.770 (best 0.762)
In epoch 485, loss: 0.435, train acc: 0.866, val acc: 0.774 (best 0.774), test acc: 0.770 (best 0.762)
In epoch 490, loss: 0.430, train acc: 0.868, val acc: 0.765 (best 0.774), test acc: 0.772 (best 0.762)
In epoch 495, loss: 0.428, train acc: 0.866, val acc: 0.762 (best 0.774), test acc: 0.772 (best 0.762)
In epoch 500, loss: 0.425, train acc: 0.870, val acc: 0.771 (best 0.778), test acc: 0.775 (best 0.773)
In epoch 505, loss: 0.422, train acc: 0.870, val acc: 0.773 (best 0.778), test acc: 0.779 (best 0.773)
In epoch 510, loss: 0.419, train acc: 0.868, val acc: 0.762 (best 0.778), test acc: 0.772 (best 0.773)
In epoch 515, loss: 0.416, train acc: 0.871, val acc: 0.773 (best 0.778), test acc: 0.781 (best 0.773)
In epoch 520, loss: 0.413, train acc: 0.871, val acc: 0.769 (best 0.778), test acc: 0.783 (best 0.773)
In epoch 525, loss: 0.411, train acc: 0.871, val acc: 0.762 (best 0.778), test acc: 0.783 (best 0.773)
In epoch 530, loss: 0.410, train acc: 0.871, val acc: 0.774 (best 0.778), test acc: 0.786 (best 0.773)
In epoch 535, loss: 0.407, train acc: 0.872, val acc: 0.763 (best 0.778), test acc: 0.781 (best 0.773)
In epoch 540, loss: 0.405, train acc: 0.872, val acc: 0.763 (best 0.778), test acc: 0.783 (best 0.773)
In epoch 545, loss: 0.403, train acc: 0.875, val acc: 0.778 (best 0.778), test acc: 0.788 (best 0.773)
In epoch 550, loss: 0.400, train acc: 0.874, val acc: 0.774 (best 0.778), test acc: 0.788 (best 0.773)
